theta,alpha,alpha0,rho1,rho2,gamma,user
4.835621067973603,-122.54613852619651,99.92823493350895,-12.22716534926478,6.003071284325182,-6.5841158121715875,user_3
6.034279626898287,-116.14913352799435,98.49581549741097,-12.33309525418049,6.0030935666981815,-6.830429931380884,user_3
5.712001446772489,-128.66013177588349,104.15676247182603,-12.27370144286244,6.004807327529459,-8.529426971182579,user_3
6.069648019682146,-125.25445769186642,102.6795486591952,-12.25117191404774,5.999998897592976,-7.293468611010788,user_3
6.069253984780864,-110.8231715444504,83.07479915495249,-12.364702177962162,6.0100894498854,-6.691365606989639,user_3
6.176139346160706,-112.913415634262,91.48559100858984,-12.234889531581148,6.004369015638375,-6.894229949253418,user_3
6.261293137223254,-126.64257726780532,100.70600569353756,-12.232497054516998,6.003371169577669,-8.216199338074157,user_3
5.834313107534803,-130.4528590880989,111.74798944024258,-12.328454927088714,6.010863490561725,-6.957649635076497,user_3
6.02217680588287,-131.17790979082145,103.29563403575189,-12.26739611143371,6.004064204487744,-8.104163843085372,user_3
5.887324344861778,-109.85901399046064,93.41157387366644,-12.328521168940991,6.009198321865723,-6.181719318312295,user_3
6.111449254191572,-120.21457064542643,100.2482717278272,-12.28610428482445,6.001463666072559,-7.049530932262162,user_3
5.83102036190105,-128.53579965242852,107.15642148347145,-12.35219126752963,6.004507545192743,-8.305549576597253,user_3
5.532957494661794,-105.08564814304515,93.40083733377986,-12.221810267077903,6.003045807308103,-6.189603752775487,user_3
6.814782525885835,-124.18906268853769,102.51112507841748,-12.286217437690803,6.004443190380977,-7.852714483915093,user_3
